ID_CONTADOR,ID_CLIENTE,FECHA_BUILD,FECHA_INSTALACION,LATITUD,LONGITUD,MUNICIPIO
CNT_000055,CLI_000055,2018-06-18,2019-05-17,38.043244,-0.921156,Orihuela
CNT_000056,CLI_000056,2015-09-10,2016-07-07,38.480697,-0.754116,Petrer
CNT_000057,CLI_000057,2017-07-24,2019-07-13,38.386284,-0.498125,Alicante
CNT_000058,CLI_000058,2018-05-28,2018-10-18,38.354216,-0.46097,Alicante
CNT_000059,CLI_000059,2021-09-10,2022-11-20,38.323613,-0.461865,Alicante
CNT_000060,CLI_000060,2023-04-22,2023-06-16,38.264814,-0.674685,Elche
CNT_000061,CLI_000061,2024-04-30,2025-01-21,38.265896,-0.687329,Elche
CNT_000062,CLI_000062,2019-10-19,2020-09-22,38.357016,-0.529562,Alicante
CNT_000063,CLI_000063,2019-10-04,2021-09-16,38.379898,-0.527165,San Vicente del Raspeig
CNT_000064,CLI_000064,2017-11-18,2018-08-07,38.278536,-0.723726,Elche
CNT_000065,CLI_000065,2016-05-08,2017-12-07,38.27759,-0.486065,Alicante
CNT_000066,CLI_000066,2017-08-16,2018-06-06,37.967362,-0.66456,Torrevieja
CNT_000067,CLI_000067,2020-07-14,2020-08-25,38.332993,-0.473371,Alicante
CNT_000068,CLI_000068,2019-10-14,2021-03-22,38.4039,-0.511523,San Vicente del Raspeig
CNT_000069,CLI_000069,2024-10-13,2025-09-23,38.345766,-0.472456,Alicante
CNT_000070,CLI_000070,2018-03-23,2019-12-30,38.38875,-0.450185,Sant Joan d'Alacant
CNT_000071,CLI_000071,2017-09-18,2019-07-17,38.68658,-0.50365,Alcoy
CNT_000072,CLI_000072,2024-01-16,2025-03-04,38.350167,-0.47728,Alicante
CNT_000073,CLI_000073,2020-11-19,2022-09-21,38.343223,-0.486348,Alicante
CNT_000074,CLI_000074,2022-11-14,2023-10-25,38.389351,-0.537023,San Vicente del Raspeig
CNT_000075,CLI_000075,2021-02-02,2021-11-14,38.52843,-0.151708,Benidorm
CNT_000076,CLI_000076,2023-04-20,2024-08-02,38.706754,-0.482217,Alcoy
CNT_000077,CLI_000077,2017-07-15,2017-12-06,38.692188,-0.475734,Alcoy
CNT_000078,CLI_000078,2021-03-29,2022-02-20,38.342998,-0.464353,Alicante
CNT_000079,CLI_000079,2020-08-21,2021-01-21,38.313239,-0.69415,Elche
CNT_000080,CLI_000080,2018-04-24,2019-02-03,38.309608,-0.440798,Alicante
CNT_000081,CLI_000081,2022-09-09,2024-07-20,38.456478,-0.804227,Elda
CNT_000082,CLI_000082,2017-07-20,2017-10-04,38.100472,-0.926879,Orihuela
CNT_000083,CLI_000083,2021-05-02,2022-09-06,38.25057,-0.697259,Elche
CNT_000084,CLI_000084,2020-04-09,2021-04-23,38.337244,-0.463633,Alicante
CNT_000085,CLI_000085,2018-03-04,2018-08-03,38.248315,-0.707903,Elche
CNT_000086,CLI_000086,2017-01-26,2017-03-27,38.259784,-0.674723,Elche
CNT_000087,CLI_000087,2017-11-20,2018-02-12,38.717582,-0.469857,Alcoy
CNT_000088,CLI_000088,2016-03-31,2016-09-29,38.100843,-0.958089,Orihuela
CNT_000089,CLI_000089,2015-09-16,2017-01-13,38.853633,0.10552,Denia
CNT_000090,CLI_000090,2023-09-11,2024-07-22,38.234343,-0.70357,Elche
CNT_000091,CLI_000091,2016-03-06,2016-05-10,38.316421,-0.468771,Alicante
CNT_000092,CLI_000092,2024-06-15,2025-03-27,38.500131,-0.145457,Benidorm
CNT_000093,CLI_000093,2021-11-21,2022-06-16,38.688687,-0.473752,Alcoy
CNT_000094,CLI_000094,2024-10-24,2026-05-24,37.995921,-0.675084,Torrevieja
CNT_000095,CLI_000095,2020-05-18,2021-02-25,38.704603,-0.473004,Alcoy
CNT_000096,CLI_000096,2020-05-27,2021-11-15,38.260627,-0.668667,Elche
CNT_000097,CLI_000097,2023-12-23,2025-11-25,37.978299,-0.668268,Torrevieja
CNT_000098,CLI_000098,2016-10-08,2016-11-27,38.250345,-0.698465,Elche
CNT_000099,CLI_000099,2016-03-22,2016-07-04,38.350319,-0.475583,Alicante
CNT_000100,CLI_000100,2022-10-01,2024-02-02,38.364347,-0.473608,Alicante
CNT_000101,CLI_000101,2018-01-17,2018-08-12,38.304803,-0.470918,Alicante
CNT_000102,CLI_000102,2015-07-14,2016-08-28,38.090793,-0.981013,Orihuela
CNT_000103,CLI_000103,2018-12-08,2019-02-12,38.286014,-0.704934,Elche
CNT_000104,CLI_000104,2018-02-19,2018-07-18,38.256368,-0.730958,Elche
CNT_000105,CLI_000105,2021-11-14,2023-09-04,38.851211,0.124874,Denia
CNT_000106,CLI_000106,2018-02-13,2018-03-15,38.415566,-0.482521,Alicante
CNT_000107,CLI_000107,2015-07-15,2016-06-19,38.263204,-0.702554,Elche
CNT_000108,CLI_000108,2020-09-14,2021-05-09,38.70312,-0.462638,Alcoy
CNT_000109,CLI_000109,2020-10-15,2021-04-16,38.326749,-0.470442,Alicante
CNT_000110,CLI_000110,2016-10-06,2018-09-18,38.349731,-0.509216,Alicante
CNT_000111,CLI_000111,2024-03-06,2025-02-13,38.356707,-0.482773,Alicante
CNT_000112,CLI_000112,2024-09-20,2025-08-22,38.350071,-0.489379,Alicante
CNT_000113,CLI_000113,2017-10-31,2019-04-17,38.473703,-0.787445,Petrer
CNT_000114,CLI_000114,2019-10-20,2021-07-29,38.398776,-0.533583,San Vicente del Raspeig
CNT_000115,CLI_000115,2015-11-18,2017-10-02,38.114044,-0.948171,Orihuela
CNT_000116,CLI_000116,2019-08-19,2021-02-18,38.484084,-0.793179,Elda
CNT_000117,CLI_000117,2021-04-06,2023-01-01,38.407844,-0.543087,San Vicente del Raspeig
CNT_000118,CLI_000118,2017-10-13,2018-02-16,38.339275,-0.452208,Alicante
CNT_000119,CLI_000119,2023-07-29,2024-12-29,38.851949,0.104168,Denia
CNT_000120,CLI_000120,2016-10-11,2016-11-16,37.983727,-0.681524,Torrevieja
CNT_000121,CLI_000121,2022-02-22,2022-04-04,38.384889,-0.520492,San Vicente del Raspeig
CNT_000122,CLI_000122,2019-08-30,2021-02-23,38.845478,0.093879,Denia
CNT_000123,CLI_000123,2021-01-21,2022-02-03,38.243683,-0.68826,Elche
CNT_000124,CLI_000124,2017-04-10,2017-05-16,38.329378,-0.490177,Alicante
CNT_000125,CLI_000125,2015-07-08,2016-12-18,38.349933,-0.503415,Alicante
CNT_000126,CLI_000126,2019-02-19,2020-07-07,38.272039,-0.685684,Elche
CNT_000127,CLI_000127,2015-04-02,2016-10-06,38.382029,-0.5074,San Vicente del Raspeig
CNT_000128,CLI_000128,2020-03-26,2020-06-20,38.491348,-0.783102,Elda
CNT_000129,CLI_000129,2021-05-25,2023-02-03,38.3595,-0.457926,Alicante
CNT_000130,CLI_000130,2024-10-20,2026-05-25,38.249996,-0.709754,Elche
CNT_000131,CLI_000131,2023-08-13,2024-05-01,38.231673,-0.733448,Elche
CNT_000132,CLI_000132,2019-04-30,2019-06-28,38.341577,-0.443747,Alicante
CNT_000133,CLI_000133,2024-07-31,2025-08-31,38.334051,-0.429637,Alicante
CNT_000134,CLI_000134,2018-11-09,2020-08-06,38.267989,-0.664358,Elche
CNT_000135,CLI_000135,2023-07-22,2023-10-15,38.480269,-0.773358,Petrer
CNT_000136,CLI_000136,2015-06-24,2015-08-02,38.221336,-0.723702,Elche
CNT_000137,CLI_000137,2019-08-24,2020-02-16,37.97171,-0.701382,Torrevieja
CNT_000138,CLI_000138,2024-12-29,2026-01-26,38.530533,-0.151505,Benidorm
CNT_000139,CLI_000139,2016-04-18,2018-01-06,38.279441,-0.700662,Elche
CNT_000140,CLI_000140,2020-04-18,2021-01-25,38.628622,-0.846932,Villena
CNT_000141,CLI_000141,2024-05-25,2025-03-03,38.657144,-0.8679,Villena
CNT_000142,CLI_000142,2015-09-27,2017-01-11,38.297409,-0.473442,Alicante
CNT_000143,CLI_000143,2020-08-06,2021-08-10,38.294346,-0.668037,Elche
CNT_000144,CLI_000144,2021-09-20,2023-03-19,38.339592,-0.491102,Alicante
CNT_000145,CLI_000145,2023-10-01,2024-10-17,38.36669,-0.430112,Alicante
CNT_000146,CLI_000146,2016-11-24,2018-09-08,38.347195,-0.431198,Alicante
CNT_000147,CLI_000147,2016-01-11,2017-11-23,38.107591,-0.947122,Orihuela
CNT_000148,CLI_000148,2018-11-16,2019-11-03,38.256978,-0.711006,Elche
CNT_000149,CLI_000149,2021-02-07,2021-07-26,38.317734,-0.463569,Alicante
CNT_000150,CLI_000150,2020-09-14,2022-01-01,38.380713,-0.489688,Alicante
CNT_000151,CLI_000151,2018-05-20,2018-09-21,38.838998,0.088352,Denia
CNT_000152,CLI_000152,2020-05-25,2021-12-28,38.350739,-0.448969,Alicante
CNT_000153,CLI_000153,2015-05-14,2016-08-05,38.376069,-0.450589,Alicante
CNT_000154,CLI_000154,2022-12-22,2024-06-17,38.242797,-0.694879,Elche
CNT_000155,CLI_000155,2017-07-12,2018-01-07,38.406759,-0.449866,Sant Joan d'Alacant
CNT_000156,CLI_000156,2016-11-20,2018-06-25,38.330453,-0.511738,Alicante
CNT_000157,CLI_000157,2019-08-29,2020-09-12,38.532614,-0.130013,Benidorm
CNT_000158,CLI_000158,2020-07-22,2020-12-14,38.699267,-0.479398,Alcoy
CNT_000159,CLI_000159,2021-12-13,2023-10-05,38.307694,-0.489527,Alicante
CNT_000160,CLI_000160,2020-02-16,2020-11-08,38.689054,-0.461136,Alcoy
CNT_000161,CLI_000161,2017-04-20,2018-02-13,38.295224,-0.68217,Elche
CNT_000162,CLI_000162,2017-09-14,2018-07-31,38.102524,-0.916937,Orihuela
CNT_000163,CLI_000163,2019-01-01,2020-04-08,38.083547,-0.964312,Orihuela
CNT_000164,CLI_000164,2017-04-18,2017-05-26,37.983076,-0.688377,Torrevieja
CNT_000165,CLI_000165,2023-07-15,2025-05-04,38.337844,-0.462025,Alicante
CNT_000166,CLI_000166,2022-06-08,2023-10-25,38.494979,-0.786423,Elda
CNT_000167,CLI_000167,2024-07-04,2026-01-06,38.261092,-0.664588,Elche
CNT_000168,CLI_000168,2024-09-29,2026-04-18,38.350996,-0.470487,Alicante
CNT_000169,CLI_000169,2023-05-26,2025-05-09,38.373851,-0.434797,Alicante
CNT_000170,CLI_000170,2021-10-15,2021-11-24,37.964707,-0.67248,Torrevieja
CNT_000171,CLI_000171,2018-12-22,2020-09-24,38.552905,-0.118554,Benidorm
CNT_000172,CLI_000172,2017-01-17,2018-01-08,38.306938,-0.489088,Alicante
CNT_000173,CLI_000173,2022-11-15,2024-07-31,38.301352,-0.697986,Elche
CNT_000174,CLI_000174,2024-12-22,2025-10-23,38.335883,-0.458226,Alicante
CNT_000175,CLI_000175,2022-01-08,2023-02-11,38.079946,-0.91224,Orihuela
CNT_000176,CLI_000176,2021-11-14,2023-04-17,38.29795,-0.462769,Alicante
CNT_000177,CLI_000177,2017-08-23,2018-09-01,38.528742,-0.132298,Benidorm
CNT_000178,CLI_000178,2020-04-10,2021-05-12,38.242624,-0.667999,Elche
CNT_000179,CLI_000179,2020-07-31,2021-07-06,38.477824,-0.79192,Petrer
CNT_000180,CLI_000180,2021-02-06,2022-10-29,38.341767,-0.516556,Alicante
CNT_000181,CLI_000181,2015-05-25,2016-10-20,38.286571,-0.683304,Elche
CNT_000182,CLI_000182,2020-01-25,2020-03-09,38.35039,-0.480647,Alicante
CNT_000183,CLI_000183,2024-02-19,2026-02-05,38.486977,-0.763945,Petrer
CNT_000184,CLI_000184,2017-01-04,2017-02-06,38.465554,-0.791027,Elda
CNT_000185,CLI_000185,2021-09-19,2022-10-29,38.323181,-0.466726,Alicante
CNT_000186,CLI_000186,2022-10-31,2023-12-03,38.120775,-0.960788,Orihuela
CNT_000187,CLI_000187,2023-04-05,2024-08-11,38.387478,-0.518454,San Vicente del Raspeig
CNT_000188,CLI_000188,2023-03-22,2024-10-04,38.008512,-0.664301,Torrevieja
CNT_000189,CLI_000189,2021-12-06,2022-05-21,37.974325,-0.66023,Torrevieja
CNT_000190,CLI_000190,2021-12-04,2022-12-31,38.345257,-0.430661,Alicante
CNT_000191,CLI_000191,2024-01-22,2024-09-23,38.371959,-0.474898,Alicante
CNT_000192,CLI_000192,2024-11-05,2025-12-07,38.859778,0.109809,Denia
CNT_000193,CLI_000193,2021-07-14,2021-12-07,38.839038,0.082852,Denia
CNT_000194,CLI_000194,2021-05-04,2021-11-28,38.077035,-0.955128,Orihuela
CNT_000195,CLI_000195,2021-05-02,2022-02-01,38.26427,-0.702548,Elche
CNT_000196,CLI_000196,2016-06-11,2016-11-15,38.272935,-0.675193,Elche
CNT_000197,CLI_000197,2023-08-30,2024-09-20,38.709096,-0.480732,Alcoy
CNT_000198,CLI_000198,2024-02-02,2024-05-19,38.840763,0.117645,Denia
CNT_000199,CLI_000199,2023-06-18,2024-05-05,38.849983,0.105676,Denia
CNT_000200,CLI_000200,2022-12-29,2023-04-19,38.41596,-0.527426,San Vicente del Raspeig
CNT_000201,CLI_000201,2024-06-23,2025-06-29,38.092426,-0.939522,Orihuela
CNT_000202,CLI_000202,2018-11-12,2019-11-14,38.352991,-0.490779,Alicante
CNT_000203,CLI_000203,2023-02-21,2024-10-20,38.307227,-0.491726,Alicante
CNT_000204,CLI_000204,2018-01-23,2018-05-28,38.801239,0.080128,Denia
CNT_000205,CLI_000205,2016-03-05,2016-08-26,38.092568,-0.949459,Orihuela
CNT_000206,CLI_000206,2022-10-13,2024-06-10,38.342829,-0.492999,Alicante
CNT_000207,CLI_000207,2023-03-08,2024-09-08,38.33233,-0.4939,Alicante
CNT_000208,CLI_000208,2017-11-26,2019-01-26,38.537122,-0.126298,Benidorm
CNT_000209,CLI_000209,2018-11-17,2019-12-08,38.34369,-0.464534,Alicante
CNT_000210,CLI_000210,2019-05-16,2019-12-17,38.373395,-0.475195,Alicante
CNT_000211,CLI_000211,2024-03-16,2026-02-13,37.98025,-0.664283,Torrevieja
CNT_000212,CLI_000212,2020-03-12,2021-10-05,38.525237,-0.124393,Benidorm
CNT_000213,CLI_000213,2021-06-08,2021-12-05,38.104603,-0.950401,Orihuela
CNT_000214,CLI_000214,2019-11-15,2020-10-28,38.339772,-0.492571,Alicante
CNT_000215,CLI_000215,2021-09-14,2023-08-12,38.540518,-0.127546,Benidorm
CNT_000216,CLI_000216,2022-11-10,2023-02-06,38.333265,-0.466656,Alicante
CNT_000217,CLI_000217,2021-07-19,2021-08-27,38.251204,-0.667547,Elche
CNT_000218,CLI_000218,2022-12-20,2023-05-22,38.69941,-0.459106,Alcoy
CNT_000219,CLI_000219,2016-06-01,2017-06-21,38.085057,-0.955329,Orihuela
CNT_000220,CLI_000220,2018-11-01,2019-11-11,38.484458,-0.793024,Elda
CNT_000221,CLI_000221,2015-06-14,2016-03-06,38.079427,-0.93108,Orihuela
CNT_000222,CLI_000222,2023-06-12,2024-06-08,37.945646,-0.662976,Torrevieja
CNT_000223,CLI_000223,2020-09-03,2020-10-19,38.334381,-0.457526,Alicante
CNT_000224,CLI_000224,2018-02-20,2019-05-19,38.282964,-0.699705,Elche
CNT_000225,CLI_000225,2015-05-09,2016-04-26,38.337766,-0.512351,Alicante
CNT_000226,CLI_000226,2022-11-04,2022-12-26,38.33904,-0.505973,Alicante
CNT_000227,CLI_000227,2019-07-16,2020-11-15,38.648837,-0.862928,Villena
CNT_000228,CLI_000228,2024-11-27,2026-03-31,38.249837,-0.690771,Elche
CNT_000229,CLI_000229,2017-10-14,2019-04-17,38.817558,0.08922,Denia
CNT_000230,CLI_000230,2016-08-17,2018-03-26,38.081587,-0.943609,Orihuela
CNT_000231,CLI_000231,2018-08-25,2019-11-18,38.39049,-0.517725,San Vicente del Raspeig
CNT_000232,CLI_000232,2021-10-19,2022-12-25,38.244243,-0.723627,Elche
CNT_000233,CLI_000233,2015-07-01,2016-06-25,37.975543,-0.66231,Torrevieja
CNT_000234,CLI_000234,2019-05-31,2020-09-28,38.276313,-0.706606,Elche
CNT_000235,CLI_000235,2022-04-17,2023-09-11,38.344968,-0.44956,Alicante
CNT_000236,CLI_000236,2017-01-13,2018-06-24,38.537884,-0.137701,Benidorm
CNT_000237,CLI_000237,2020-01-13,2020-03-09,38.390535,-0.506666,Alicante
CNT_000238,CLI_000238,2020-09-21,2021-11-21,38.336628,-0.492453,Alicante
CNT_000239,CLI_000239,2021-09-17,2022-04-22,38.090367,-0.946403,Orihuela
CNT_000240,CLI_000240,2020-05-06,2020-10-22,38.33247,-0.490712,Alicante
CNT_000241,CLI_000241,2016-08-27,2018-02-28,38.475436,-0.77216,Petrer
CNT_000242,CLI_000242,2022-05-27,2022-09-25,38.629981,-0.862192,Villena
CNT_000243,CLI_000243,2019-11-25,2020-03-10,38.833519,0.103132,Denia
CNT_000244,CLI_000244,2019-06-02,2020-03-01,38.273408,-0.699754,Elche
CNT_000245,CLI_000245,2015-09-20,2017-08-16,38.403927,-0.523731,Alicante
CNT_000246,CLI_000246,2020-10-18,2022-09-09,38.47674,-0.766083,Petrer
CNT_000247,CLI_000247,2016-10-22,2017-02-16,38.256334,-0.700262,Elche
CNT_000248,CLI_000248,2018-08-08,2020-05-16,38.636243,-0.846876,Villena
CNT_000249,CLI_000249,2023-12-30,2024-11-17,38.64175,-0.877475,Villena
CNT_000250,CLI_000250,2022-12-29,2023-05-02,38.481863,-0.8135,Elda
CNT_000251,CLI_000251,2017-04-01,2018-01-08,38.377302,-0.465548,Alicante
CNT_000252,CLI_000252,2021-01-03,2022-08-06,38.212119,-0.690676,Elche
CNT_000253,CLI_000253,2020-09-03,2021-11-05,38.450057,-0.803901,Elda
CNT_000254,CLI_000254,2018-09-08,2018-11-30,38.254591,-0.731954,Elche
CNT_000255,CLI_000255,2020-07-12,2021-04-10,38.372633,-0.442565,Alicante
CNT_000256,CLI_000256,2023-09-16,2024-02-02,37.950518,-0.656746,Torrevieja
CNT_000257,CLI_000257,2022-07-03,2024-04-16,38.453824,-0.794875,Petrer
CNT_000258,CLI_000258,2021-04-17,2023-04-02,38.541054,-0.136799,Benidorm
CNT_000259,CLI_000259,2021-12-04,2022-08-11,37.983086,-0.652245,Torrevieja
CNT_000260,CLI_000260,2022-07-25,2024-03-09,38.317945,-0.492902,Alicante
CNT_000261,CLI_000261,2017-03-26,2017-10-03,38.065089,-0.954312,Orihuela
CNT_000262,CLI_000262,2016-11-12,2017-01-15,38.392672,-0.441045,Sant Joan d'Alacant
CNT_000263,CLI_000263,2021-01-31,2021-04-07,38.347963,-0.509022,Alicante
CNT_000264,CLI_000264,2024-05-11,2026-02-22,37.967426,-0.712886,Torrevieja
CNT_000265,CLI_000265,2018-04-08,2019-05-12,38.484629,-0.779169,Elda
CNT_000266,CLI_000266,2015-01-02,2015-07-27,38.664144,-0.495515,Alcoy
CNT_000267,CLI_000267,2016-09-30,2018-04-03,38.523918,-0.128333,Benidorm
CNT_000268,CLI_000268,2024-12-08,2025-10-08,38.520687,-0.120661,Benidorm
CNT_000269,CLI_000269,2022-07-16,2024-05-08,38.259861,-0.730227,Elche
CNT_000270,CLI_000270,2021-08-06,2021-12-18,38.331749,-0.504107,Alicante
CNT_000271,CLI_000271,2024-03-21,2024-09-22,38.405874,-0.510742,San Vicente del Raspeig
CNT_000272,CLI_000272,2022-03-02,2023-03-02,38.373988,-0.518905,San Vicente del Raspeig
CNT_000273,CLI_000273,2016-08-12,2016-10-06,38.479246,-0.799207,Elda
CNT_000274,CLI_000274,2015-07-21,2016-06-10,38.849075,0.123734,Denia
CNT_000275,CLI_000275,2017-10-01,2019-04-20,38.306346,-0.671756,Elche
CNT_000276,CLI_000276,2018-08-05,2019-08-24,38.254901,-0.692381,Elche
CNT_000277,CLI_000277,2020-07-18,2020-10-24,38.400194,-0.536102,San Vicente del Raspeig
CNT_000278,CLI_000278,2023-07-31,2024-07-21,38.048723,-0.952769,Orihuela
CNT_000279,CLI_000279,2024-10-13,2025-04-11,38.505497,-0.127863,Benidorm
CNT_000280,CLI_000280,2019-12-09,2021-08-06,38.406437,-0.527563,San Vicente del Raspeig
CNT_000281,CLI_000281,2015-05-06,2017-03-27,38.840617,0.119784,Denia
CNT_000282,CLI_000282,2023-04-28,2024-04-11,38.291427,-0.731955,Elche
CNT_000283,CLI_000283,2020-09-27,2022-01-21,38.235285,-0.731174,Elche
CNT_000284,CLI_000284,2017-04-25,2018-12-15,38.358198,-0.476478,Alicante
CNT_000285,CLI_000285,2019-12-02,2021-10-29,38.012339,-0.691048,Torrevieja
CNT_000286,CLI_000286,2015-06-28,2015-11-16,38.355693,-0.496676,Alicante
CNT_000287,CLI_000287,2019-05-24,2021-03-18,38.271585,-0.737197,Elche
CNT_000288,CLI_000288,2020-03-17,2021-07-21,37.978854,-0.681848,Torrevieja
CNT_000289,CLI_000289,2016-05-07,2017-06-02,38.305928,-0.482319,Alicante
CNT_000290,CLI_000290,2024-08-05,2025-03-25,38.0031,-0.670437,Torrevieja
CNT_000291,CLI_000291,2022-03-04,2023-08-02,38.329929,-0.479277,Alicante
CNT_000292,CLI_000292,2021-06-07,2022-10-29,38.357812,-0.484315,Alicante
CNT_000293,CLI_000293,2017-08-21,2017-09-23,38.377544,-0.511176,San Vicente del Raspeig
CNT_000294,CLI_000294,2023-04-26,2023-10-01,38.239552,-0.727174,Elche
CNT_000295,CLI_000295,2018-04-07,2018-06-01,38.381077,-0.46759,Alicante
CNT_000296,CLI_000296,2023-04-13,2023-06-08,37.972449,-0.712281,Torrevieja
CNT_000297,CLI_000297,2020-06-09,2020-08-19,38.715839,-0.48346,Alcoy
CNT_000298,CLI_000298,2015-09-26,2017-05-30,38.343244,-0.511316,Alicante
CNT_000299,CLI_000299,2018-10-19,2019-01-20,38.047962,-0.928861,Orihuela
CNT_000300,CLI_000300,2016-09-15,2016-11-08,38.367502,-0.482635,Alicante
CNT_000301,CLI_000301,2020-11-17,2021-02-26,38.330453,-0.481338,Alicante
CNT_000302,CLI_000302,2021-03-12,2022-08-05,37.991276,-0.702121,Torrevieja
CNT_000303,CLI_000303,2022-04-26,2023-02-17,37.979154,-0.687594,Torrevieja
CNT_000304,CLI_000304,2020-11-14,2021-03-18,38.053938,-0.959769,Orihuela
CNT_000305,CLI_000305,2017-03-29,2018-05-27,38.700372,-0.468799,Alcoy
CNT_000306,CLI_000306,2022-05-01,2023-05-29,38.663355,-0.878093,Villena
CNT_000307,CLI_000307,2016-07-01,2017-06-10,38.276346,-0.669045,Elche
CNT_000308,CLI_000308,2015-12-03,2016-04-27,38.264235,-0.735163,Elche
CNT_000309,CLI_000309,2015-12-25,2016-07-05,38.409204,-0.534978,San Vicente del Raspeig
CNT_000310,CLI_000310,2024-03-15,2025-11-11,38.350467,-0.43907,Alicante
CNT_000311,CLI_000311,2018-11-20,2019-10-21,38.27011,-0.707873,Elche
